path_x0,path_y0,path_distance00,path_x01,path_y01,path_distance01,path_x02,path_y02,path_distance02,path_x03,path_y03,path_distance03,path_x04,path_y04,path_distance04,path_x05,path_y05,path_distance05,path_x06,path_y06,path_distance06,path_x07,path_y07,path_distance07,path_x08,path_y08,path_distance08,path_x09,path_y09,path_distance09,path_x1,path_y1,path_distance1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2.84019702,0,-1.94914E-06,-2.83954593,0.005549114,0.005547175,-2.839561791,-0.007105837,-0.007107809,-2.83952111,-0.016637819,-0.016640054,-2.839256642,-0.029806649,-0.029810241,-2.838853722,-0.04366401,-0.043671124,-2.838559534,-0.053708097,-0.053719659,-2.838028301,-0.066862727,-0.066883231,-2.837400396,-0.078277892,-0.078309624,-2.836952797,-0.085884313,-0.08592561,-2.836235379,-0.097287635,-0.097346803
-2.470916617,0,-1.96508E-06,-2.463868963,0.004814956,0.004813,-2.46411374,-0.0061663,-0.006168285,-2.464473584,-0.014440275,-0.014442488,-2.463747625,-0.025864538,-0.025867929,-2.462950248,-0.037882291,-0.037888738,-2.463205509,-0.046606061,-0.046616369,-2.463026045,-0.058027835,-0.058045903,-2.462039678,-0.067922481,-0.06795029,-2.461579417,-0.074520471,-0.074556577,-2.461156297,-0.084421793,-0.08447341
-2.101634367,0,-2.0341E-06,-2.088190083,0.004080795,0.004078769,-2.088663778,-0.005226759,-0.005228811,-2.089424151,-0.01224272,-0.012244968,-2.088236695,-0.021922407,-0.021925655,-2.087044857,-0.032100543,-0.032106382,-2.087849572,-0.03950399,-0.039513103,-2.08802188,-0.049192898,-0.049208593,-2.086677046,-0.057567018,-0.057590967,-2.086204124,-0.06315657,-0.063187551,-2.086075303,-0.071555885,-0.071600017
-1.732383644,0,-2.17831E-06,-1.712542473,0.003346695,0.00334454,-1.713245096,-0.004287295,-0.004289513,-1.714406012,-0.010045348,-0.010047749,-1.712757036,-0.017980604,-0.017983853,-1.711170713,-0.026319276,-0.026324678,-1.712524898,-0.03240251,-0.032410621,-1.713048982,-0.040358698,-0.04037224,-1.711345656,-0.047212417,-0.047232751,-1.710860063,-0.051793615,-0.051819734,-1.711025539,-0.058691048,-0.058727988
-1.363181558,0,-2.40763E-06,-1.336943146,0.002612689,0.002610388,-1.337874708,-0.003347953,-0.003350507,-1.339436186,-0.007848259,-0.007851085,-1.337325657,-0.014039307,-0.014042989,-1.335344815,-0.020538751,-0.020544342,-1.337248486,-0.025301943,-0.025309834,-1.338124342,-0.031525635,-0.031538022,-1.336062481,-0.036859146,-0.036877063,-1.335564198,-0.040432119,-0.040454711,-1.336023958,-0.045827865,-0.045859158
-0.994023797,0,-2.72353E-06,-0.961387935,0.001878769,0.001876405,-0.962548442,-0.002408721,-0.002411919,-0.964510491,-0.005651429,-0.005655316,-0.961938381,-0.010098474,-0.01010378,-0.959562985,-0.014758903,-0.014766529,-0.962016139,-0.01820221,-0.018212229,-0.963243745,-0.022693609,-0.022707863,-0.960823299,-0.026507088,-0.026526209,-0.960312298,-0.029071954,-0.029095044,-0.961066302,-0.032966188,-0.032996481
-0.62489581,0,-3.12167E-06,-0.58586257,0.001144908,0.001142729,-0.58725202,-0.001469564,-0.001473931,-0.589614629,-0.003454773,-0.003460994,-0.586580929,-0.006157954,-0.006167352,-0.583810957,-0.008979514,-0.00899299,-0.586813561,-0.01110304,-0.011120014,-0.588392871,-0.013862283,-0.013884567,-0.585613801,-0.016155849,-0.016183509,-0.58509005,-0.017712687,-0.017744394,-0.58613824,-0.020105526,-0.020144127
-0.255785152,0,-3.59413E-06,-0.210354809,0.000411081,0.000409553,-0.21197319,-0.00053045,-0.000536797,-0.214736339,-0.001258221,-0.001268853,-0.211241056,-0.002217619,-0.002235135,-0.208076509,-0.003200396,-0.003225882,-0.211628528,-0.004004202,-0.004035876,-0.213559507,-0.00503137,-0.00507149,-0.210421809,-0.005805094,-0.005852888,-0.209885294,-0.006353949,-0.006407056,-0.211227637,-0.007245463,-0.007306948
-0.113313434,0,-4.1312E-06,-0.165140603,0.000322722,-0.000322912,-0.1632933,-0.000408632,0.000399205,-0.160129627,-0.00093826,0.000920349,-0.164086461,-0.001722587,0.001691458,-0.16764554,-0.002578532,0.002532718,-0.163544099,-0.003094401,0.003037632,-0.161261414,-0.00379925,0.003728217,-0.164757669,-0.004545317,0.004462003,-0.165306905,-0.005004408,0.004912985,-0.163670347,-0.005614168,0.005510576
