x-coord1,y-coord1,path_distance_1,x-coord2,y-coord2,path_distance_2,x-coord3,y-coord3,path_distance_3,x-coord4,y-coord4,path_distance_4,x-coord5,y-coord5,path_distance_5,x-coord6,y-coord6,path_distance_6,x-coord7,y-coord7,path_distance_7
0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0
-1.00E+00,1.95E-03,-2.31E-06,-1.00E+00,-2.50E-03,-3.95E-06,-1.00E+00,-5.86E-03,-3.95E-06,-1.00E+00,-1.05E-02,-3.95E-06,-1.00E+00,-1.54E-02,-3.95E-06,-1.00E+00,-1.89E-02,-3.95E-06,-1.00E+00,-2.36E-02,-3.95E-06
-2.00E+00,3.91E-03,-1.01E-05,-2.00E+00,-5.00E-03,-9.44E-06,-2.00E+00,-1.17E-02,-9.44E-06,-2.00E+00,-2.10E-02,-9.44E-06,-2.00E+00,-3.08E-02,-9.44E-06,-2.00E+00,-3.78E-02,-9.44E-06,-2.00E+00,-4.71E-02,-9.44E-06
-3.00E+00,5.86E-03,-1.74E-05,-3.00E+00,-7.51E-03,-1.37E-05,-3.00E+00,-1.76E-02,-1.37E-05,-3.00E+00,-3.15E-02,-1.37E-05,-3.00E+00,-4.61E-02,-1.37E-05,-3.00E+00,-5.68E-02,-1.37E-05,-3.00E+00,-7.07E-02,-1.37E-05
-4.00E+00,7.75E-03,-4.91E-05,-4.00E+00,-1.00E-02,-1.62E-05,-4.00E+00,-2.34E-02,-1.62E-05,-4.00E+00,-4.20E-02,-1.62E-05,-4.00E+00,-6.15E-02,-1.62E-05,-4.00E+00,-7.57E-02,-1.62E-05,-4.00E+00,-9.42E-02,-1.62E-05
-5.00E+00,9.64E-03,-2.09E-05,-5.00E+00,-1.25E-02,-1.81E-05,-5.00E+00,-2.93E-02,-1.81E-05,-5.00E+00,-5.25E-02,-1.81E-05,-5.00E+00,-7.69E-02,-1.81E-05,-5.00E+00,-9.46E-02,-1.81E-05,-5.00E+00,-1.18E-01,-1.81E-05
-6.00E+00,1.15E-02,-1.33E-05,-6.00E+00,-1.50E-02,-1.97E-05,-6.00E+00,-3.52E-02,-1.97E-05,-6.00E+00,-6.30E-02,-1.97E-05,-6.00E+00,-9.23E-02,-1.97E-05,-6.00E+00,-1.14E-01,-1.97E-05,-6.00E+00,-1.41E-01,-1.97E-05
-7.00E+00,1.34E-02,-1.11E-05,-7.00E+00,-1.75E-02,-2.06E-05,-7.00E+00,-4.10E-02,-2.06E-05,-7.00E+00,-7.35E-02,-2.06E-05,-7.00E+00,-1.08E-01,-2.06E-05,-7.00E+00,-1.32E-01,-2.06E-05,-7.00E+00,-1.65E-01,-2.06E-05
-8.00E+00,1.53E-02,-1.08E-05,-8.00E+00,-2.00E-02,-2.06E-05,-8.00E+00,-4.69E-02,-2.06E-05,-8.00E+00,-8.40E-02,-2.06E-05,-8.00E+00,-1.23E-01,-2.06E-05,-8.00E+00,-1.51E-01,-2.06E-05,-8.00E+00,-1.88E-01,-2.06E-05
-9.00E+00,1.72E-02,-1.12E-05,-9.00E+00,-2.25E-02,-1.98E-05,-9.00E+00,-5.27E-02,-1.98E-05,-9.00E+00,-9.45E-02,-1.98E-05,-9.00E+00,-1.38E-01,-1.98E-05,-9.00E+00,-1.70E-01,-1.98E-05,-9.00E+00,-2.12E-01,-1.98E-05
